name,lastname,email,phone,address,balance,credit_nb,MS,CS,uuid
Bruce,Wayne,notbatman@gotham.com,911,"1007 Mountain Drive, Gotham City, NC",9.0E9,2581,single,850,d410999a-0a62-4006-80a9-31f6b51a0063
Jack,Torrence,whatsanemail@what.com,555-232-531,"Overlook Hotel, CO",6000,2,married,702,e1626813-e80c-4d8d-90c2-7580e001b1e6
Nathan,Player,Fallout4@gmail.com,555-233-431,"2, Sanctuary Hills, Boston MA",0,0,widowed,850,6998d527-b849-4847-b394-4673f5200554
Alice,Smith,alice.smith@example.com,555-234-567,"123 Maple Ave, Springfield, IL",3000,1,single,700,194702a3-101e-461b-9000-097cb5011752
Bob,Brown,bob.brown@example.com,555-234-568,"456 Oak St, Springfield, IL",1500,3,married,720,20902210-911d-48a4-9f46-45934a487f91
Charlie,Johnson,charlie.j@example.com,555-234-569,"789 Pine St, Springfield, IL",5000,1,single,800,66f666a0-5326-4246-8267-c8135357974f
David,Wilson,david.w@example.com,555-234-570,"135 Birch St, Springfield, IL",2500,2,married,675,34903734-7038-43a3-b506-500084702210
Ella,White,ella.white@example.com,555-234-571,"246 Cedar St, Springfield, IL",4000,1,single,710,56523457-07f5-458c-830a-29514c86f150
Fiona,Black,fiona.black@example.com,555-234-572,"357 Fir St, Springfield, IL",3500,2,married,690,02a5509d-364b-4d96-872a-193b7f74956f
George,Green,george.green@example.com,555-234-573,"468 Spruce St, Springfield, IL",2000,1,widowed,720,9c362003-05f6-475f-a32e-63341228213f
Hannah,Blue,hannah.blue@example.com,555-234-574,"579 Elm St, Springfield, IL",2500,3,single,760,01f56176-855d-4692-a9a0-f14795452835
Isaac,Red,isaac.red@example.com,555-234-575,"680 Maple St, Springfield, IL",4500,2,married,730,27e01732-d153-4180-b555-b40035524b8b
Jackie,Gold,jackie.gold@example.com,555-234-576,"791 Oak Ave, Springfield, IL",3000,1,single,680,37228320-562e-462f-82f2-928123076373
Kathy,Silver,kathy.silver@example.com,555-234-577,"902 Pine Ave, Springfield, IL",5500,2,married,710,4e20840f-02a5-4234-902c-62498173b050
Liam,Gray,liam.gray@example.com,555-234-578,"123 Ash St, Springfield, IL",6000,0,widowed,740,83947444-4449-48e4-a472-953301064350
Mona,Diamond,mona.diamond@example.com,555-234-579,"456 Spruce Ave, Springfield, IL",7000,1,single,780,b2093232-078f-4571-926b-731302518497
Nina,Copper,nina.copper@example.com,555-234-580,"789 Birch Ave, Springfield, IL",3500,3,married,765,44335456-218a-4603-b148-62321323080a
Oscar,Platinum,oscar.platinum@example.com,555-234-581,"135 Maple Lane, Springfield, IL",4000,1,widowed,720,32265086-4510-4427-a8e1-187221807300
Paula,Steel,paula.steel@example.com,555-234-582,"246 Oak Lane, Springfield, IL",5000,2,single,740,b6357830-3013-4043-b525-927188782520
Quincy,Lead,quincy.lead@example.com,555-234-583,"357 Pine Lane, Springfield, IL",5500,0,married,755,23548333-738b-4718-a564-471221467334
Rita,Cobalt,rita.cobalt@example.com,555-234-584,"468 Cedar Lane, Springfield, IL",2000,1,widowed,700,72128814-7094-4688-8442-152145084350
Steve,Tin,steve.tin@example.com,555-234-585,"579 Fir Lane, Springfield, IL",6500,2,single,730,56082282-2260-4569-a012-434767211174
Tina,Zinc,tina.zinc@example.com,555-234-586,"680 Spruce Lane, Springfield, IL",3000,1,married,710,20740033-3012-4721-a907-023500335640
Ursula,Iron,ursula.iron@example.com,555-234-587,"791 Elm Lane, Springfield, IL",7500,0,widowed,780,22229075-0004-4580-a222-611112344308
Victor,Nickel,victor.nickel@example.com,555-234-588,"123 Maple Circle, Springfield, IL",8000,1,single,800,03055554-6745-4588-8080-615081343750
Wendy,Brass,wendy.brass@example.com,555-234-589,"456 Oak Circle, Springfield, IL",5000,3,married,740,35850232-3253-4670-8024-316166666143
Xena,Bronze,xena.bronze@example.com,555-234-590,"789 Pine Circle, Springfield, IL",9000,2,widowed,780,01472126-0851-4332-8420-302625815355
Yara,Aluminum,yara.aluminum@example.com,555-234-591,"135 Cedar Circle, Springfield, IL",6500,1,single,790,12874380-7402-4256-8314-347851007264
Zane,Copper,zane.copper@example.com,555-234-592,"246 Birch Circle, Springfield, IL",4000,0,married,750,72143154-5770-4021-b045-135443730547
